x,y,Cluster_ID
0.25989527,-18.348951,7
1.1989748,-18.144203,7
4.4352584,-19.237663,7
17.93427,-32.326027,7
18.396818,-33.30027,7
18.663305,-33.867535,7
18.698383,-34.453007,7
18.342207,-35.38163,7
12.18171,-42.990425,7
11.726331,-43.295723,7
11.099059,-43.716972,7
10.450053,-43.992535,7
9.7986765,-43.867775,7
9.184508,-43.397797,7
8.899826,-43.05737,7
7.307487,-39.476265,7
6.0052915,-35.688,7
1.128383,-24.56676,7
2.444246,-23.367575,7
3.3571432,-22.876606,7
3.790762,-22.607342,7
4.8290005,-24.027157,7
5.6838803,-25.224392,7
5.888851,-25.737375,7
6.045474,-26.58564,7
6.5203724,-25.846779,7
6.9509287,-25.577223,7
7.39744,-25.753283,7
8.317849,-26.171665,7
8.539866,-26.260569,7
8.553773,-27.063845,7
9.330533,-28.191954,7
16.122719,-34.224136,7
16.26536,-35.783215,7
16.26894,-36.283478,7
17.178507,-37.64737,7
13.078593,-38.120754,7
9.068692,-35.23322,7
-0.58414584,-24.699978,7
-1.5494647,-24.878685,7
-1.8823997,-25.042696,7
-2.698954,-25.365257,7
13.086259,-35.77867,7
12.461983,-40.06465,7
12.3353195,-40.072136,7
11.545287,-40.0791,7
10.807254,-39.93045,7
9.988703,-39.171673,7
0.2597566,-26.279335,7
-0.43353635,-21.653889,7
-0.17784758,-20.872248,7
0.24295634,-19.848772,7
1.8534758,-19.434702,7
3.1979842,-19.847775,7
12.186091,-34.742245,7
12.623948,-35.70413,7
12.277389,-36.657726,7
11.403429,-36.611507,7
10.695357,-36.108593,7
0.46075773,-27.183857,7
-0.9967555,-21.81659,7
-0.41623488,-20.372013,7
0.094326235,-19.29004,7
1.3795966,-19.299528,7
3.3125386,-19.581781,7
8.111957,-29.409798,7
7.6931367,-30.034698,7
7.1340146,-30.041819,7
6.7232347,-29.280313,7
6.028137,-27.9628,7
6.7245326,-27.152163,7
11.102705,-27.792135,7
12.425865,-31.20202,7
12.916931,-32.234383,7
13.162263,-32.80174,7
13.400117,-33.43347,7
12.144216,-37.846565,7
8.797686,-35.224804,7
0.36458024,-24.66443,7
0.17234826,-23.628595,7
2.4264374,-18.111143,7
4.7924438,-16.187958,7
5.6058292,-18.01601,7
21.855503,-50.677376,7
21.17348,-49.818867,7
20.932798,-48.942535,7
20.567505,-48.309776,7
20.428978,-47.84918,7
23.711346,-44.300026,7
-6.173399,-46.686848,7
-7.3915257,-42.72579,7
-7.3903418,-42.504627,7
-7.1100454,-41.711224,7
-6.8074527,-40.885822,7
-5.584113,-40.869144,7
1.6184651,-46.54918,7
1.7317154,-47.04337,7
1.151012,-47.050278,7
0.632911,-46.660503,7
-0.03660248,-46.099766,7
-1.4325361,-45.216682,7
-3.5896063,-44.099144,7
-9.481291,-38.593323,7
-9.330951,-37.833088,7
-9.099176,-38.043457,7
-7.5504537,-39.178722,7
-6.05567,-39.82284,7
17.185919,-48.461117,7
17.280617,-47.52729,7
17.15427,-47.216072,7
16.79491,-47.030453,7
-2.190511,-48.47975,7
-2.5622318,-48.375404,7
-3.6999223,-47.463844,7
-4.4342685,-46.96746,7
-4.617095,-46.5565,7
-5.09816,-45.283054,7
-9.834873,-13.772849,1
-9.842947,-13.509623,1
-7.9209285,-8.203844,1
-7.817305,-7.716979,1
-7.693446,-6.522779,1
0.8903184,7.7527122,1
1.4168311,8.432932,1
2.0359344,8.889074,1
2.809312,9.571293,1
3.3453777,9.842869,1
4.0940323,10.633903,1
5.3046384,12.000792,1
5.4349194,12.734346,1
6.2011957,38.590157,9
5.981501,39.123352,9
5.5415373,40.134712,9
5.086146,41.379303,9
4.9713063,41.975674,9
4.9751954,42.492023,9
5.1471014,42.921574,9
4.9572115,43.22038,9
4.3744607,43.81036,9
3.8385253,44.367348,4
